item code,item label,item type,item status,text type,text content,text type,text content,media url,price currencyid,price quantity,price value,price tax rate,attribute code,attribute type,subproduct code,product list type,property value,property type,catalog code,catalog list type
"7604-1328, 7604-1329","Botas para motocross tech 10 las vegas amarillo,verde ALPINESTARS",default,1,short,"Botas para motocross tech 10 las vegas amarillo,verde ALPINESTARS",long,long selection description,products/437-botas-para-motocross-tech-10-las-vegas-amarillo-verde-alpinestars-1.jpg;products/437-botas-para-motocross-tech-10-las-vegas-amarillo-verde-alpinestars-2.jpg,MXN,1,9547,9547,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1001, 7604-1002, 7604-1003, 7604-1004",Botas para motocross tech 10 negro ALPINESTARS,default,1,short,Botas para motocross tech 10 negro ALPINESTARS,long,long selection description,products/438-botas-para-motocross-tech-10-negro-alpinestars-1.jpg;products/438-botas-para-motocross-tech-10-negro-alpinestars-2.jpg;products/438-botas-para-motocross-tech-10-negro-alpinestars-3.jpg,MXN,1,9547,9547,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1075, 7604-1076, 7604-1077, 7604-1079",Botas para motocross tech 3 chrome blanco ALPINESTARS,default,1,short,Botas para motocross tech 3 chrome blanco ALPINESTARS,long,long selection description,products/425-botas-para-motocross-tech-3-chrome-blanco-alpinestars-1.jpg;products/425-botas-para-motocross-tech-3-chrome-blanco-alpinestars-2.jpg,MXN,1,3977,3977,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1243, 7604-1069, 7604-1070, 7604-1071",Botas para motocross tech 3 chrome negro ALPINESTARS,default,1,short,Botas para motocross tech 3 chrome negro ALPINESTARS,long,long selection description,products/426-botas-para-motocross-tech-3-chrome-negro-alpinestars-1.jpg;products/426-botas-para-motocross-tech-3-chrome-negro-alpinestars-2.jpg,MXN,1,3977,3977,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
" 7604-1063,  7604-1064,  7604-1065",Botas para motocross tech 3 chrome negro ALPINESTARS,default,1,short,Botas para motocross tech 3 chrome negro ALPINESTARS,long,long selection description,products/427-botas-para-motocross-tech-3-chrome-negro-alpinestars-1.jpg;products/427-botas-para-motocross-tech-3-chrome-negro-alpinestars-2.jpg,MXN,1,3977,3977,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1047, 7604-1048, 7604-1050",Botas para motocross tech 7 blanco ALPINESTARS,default,1,short,Botas para motocross tech 7 blanco ALPINESTARS,long,long selection description,products/432-botas-para-motocross-tech-7-blanco-alpinestars-1.jpg;products/432-botas-para-motocross-tech-7-blanco-alpinestars-2.jpg,MXN,1,6128,6128,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1274, 7604-1275, 7604-1276","Botas para motocross tech 7 blanco,rojo ALPINESTARS",default,1,short,"Botas para motocross tech 7 blanco,rojo ALPINESTARS",long,long selection description,products/431-botas-para-motocross-tech-7-blanco-rojo-alpinestars-1.jpg;products/431-botas-para-motocross-tech-7-blanco-rojo-alpinestars-2.jpg,MXN,1,6128,6128,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1215, 7604-1277","Botas para motocross tech 7 rojo,blanco ALPINESTARS",default,1,short,"Botas para motocross tech 7 rojo,blanco ALPINESTARS",long,long selection description,products/433-botas-para-motocross-tech-7-rojo-blanco-alpinestars-1.jpg;products/433-botas-para-motocross-tech-7-rojo-blanco-alpinestars-2.jpg,MXN,1,6128,6128,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
7604-1044,Botas para motocross tech 7 verde ALPINESTARS,default,1,short,Botas para motocross tech 7 verde ALPINESTARS,long,long selection description,products/430-botas-para-motocross-tech-7-verde-alpinestars-1.jpg;products/430-botas-para-motocross-tech-7-verde-alpinestars-2.jpg,MXN,1,6128,6128,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
" 7604-1009, 7604-1010,  7604-1011,  7604-1012",Botas para motocross ventilada tech 10 blanco ALPINESTARS,default,1,short,Botas para motocross ventilada tech 10 blanco ALPINESTARS,long,long selection description,products/434-botas-para-motocross-ventilada-tech-10-blanco-alpinestars-1.jpg;products/434-botas-para-motocross-ventilada-tech-10-blanco-alpinestars-2.jpg,MXN,1,9547,9547,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
